,tempo,comparações,trocas,Algoritmo,Tamanho,Distribuição
93,0.0040827270,975462,657651,Quick Sort,50000,aleatorio
94,0.0051785870,718368,1568928,Merge Sort,50000,aleatorio
95,0.0027000860,0,0,STL (Standard Library),50000,aleatorio
96,0.7965463140,1249975000,99998,Selection Sort,50000,quase_ordenado
97,0.1211277830,204519416,204519416,Insertion Sort,50000,quase_ordenado
98,1.4953063490,1249871715,408938834,Bubble Sort,50000,quase_ordenado
99,0.0024942020,950431,279540,Quick Sort,50000,quase_ordenado
100,0.0038446900,700478,1568928,Merge Sort,50000,quase_ordenado
101,0.0010242030,0,0,STL (Standard Library),50000,quase_ordenado
102,0.7316262400,1249975000,99998,Selection Sort,50000,inversamente_ordenados
103,0.7662979400,1250024999,1250024999,Insertion Sort,50000,inversamente_ordenados
104,2.6568999310,1249975000,2499950000,Bubble Sort,50000,inversamente_ordenados
105,0.0020533670,1043323,275115,Quick Sort,50000,inversamente_ordenados
106,0.0021614440,382512,1568928,Merge Sort,50000,inversamente_ordenados
107,0.0004209670,0,0,STL (Standard Library),50000,inversamente_ordenados
108,1.3256104310,1799970000,119998,Selection Sort,60000,aleatorio
109,0.6397726570,900594534,900594534,Insertion Sort,60000,aleatorio
110,6.1745352030,1799955804,1801069070,Bubble Sort,60000,aleatorio
111,0.0076365750,1181195,799431,Quick Sort,60000,aleatorio
112,0.0067432480,877141,1908928,Merge Sort,60000,aleatorio
113,0.0035462780,0,0,STL (Standard Library),60000,aleatorio
114,1.1820866110,1799970000,119998,Selection Sort,60000,quase_ordenado
115,0.1779174950,293147252,293147252,Insertion Sort,60000,quase_ordenado
116,2.1595832190,1799950299,586174506,Bubble Sort,60000,quase_ordenado
117,0.0037068770,1200316,336321,Quick Sort,60000,quase_ordenado
118,0.0038972910,853400,1908928,Merge Sort,60000,quase_ordenado
119,0.0013654280,0,0,STL (Standard Library),60000,quase_ordenado
120,1.0688904190,1799970000,119998,Selection Sort,60000,inversamente_ordenados
121,1.1129041550,1800029999,1800029999,Insertion Sort,60000,inversamente_ordenados
122,3.9037071570,1799970000,3599940000,Bubble Sort,60000,inversamente_ordenados
123,0.0024853050,1197696,329514,Quick Sort,60000,inversamente_ordenados
124,0.0026974420,469008,1908928,Merge Sort,60000,inversamente_ordenados
125,0.0006860450,0,0,STL (Standard Library),60000,inversamente_ordenados
126,1.6649896930,2449965000,139998,Selection Sort,70000,aleatorio
127,0.7460602550,1226766762,1226766762,Insertion Sort,70000,aleatorio
128,7.6791713950,2449954415,2453393526,Bubble Sort,70000,aleatorio
129,0.0072100120,1448009,938748,Quick Sort,70000,aleatorio
130,0.0081337030,1038854,2257856,Merge Sort,70000,aleatorio
131,0.0040116110,0,0,STL (Standard Library),70000,aleatorio
132,1.7019811250,2449965000,139998,Selection Sort,70000,quase_ordenado
133,0.2446779560,400117185,400117185,Insertion Sort,70000,quase_ordenado
134,3.0155512530,2449944294,800094372,Bubble Sort,70000,quase_ordenado
135,0.0050030010,1440311,395253,Quick Sort,70000,quase_ordenado
136,0.0071793330,1010182,2257856,Merge Sort,70000,quase_ordenado
137,0.0016940370,0,0,STL (Standard Library),70000,quase_ordenado
138,1.4009929850,2449965000,139998,Selection Sort,70000,inversamente_ordenados
139,1.5177664750,2450034999,2450034999,Insertion Sort,70000,inversamente_ordenados
140,5.3127760570,2449965000,4899930000,Bubble Sort,70000,inversamente_ordenados
